z,pT,z_pT,Q2,flavor,flavor_index,nrep,weighted_collins_mean,weighted_collins_std
0.3,0.17587939698492464,0.052763819095477386,4.0,fav,1,50,0.0069898792176606335,0.00613588354704573
0.3,0.17587939698492464,0.052763819095477386,4.0,unf,3,50,-0.01792025949780481,0.007786128530508732
0.3,0.18090452261306533,0.054271356783919596,4.0,fav,1,50,0.007380012637848289,0.006469982182733249
0.3,0.18090452261306533,0.054271356783919596,4.0,unf,3,50,-0.018899855583312017,0.008204218307405973
0.3,0.18592964824120603,0.055778894472361805,4.0,fav,1,50,0.0077794621097843,0.00681110823815773
0.3,0.18592964824120603,0.055778894472361805,4.0,unf,3,50,-0.019900510500284553,0.008630437076586256
0.3,0.19095477386934673,0.057286432160804014,4.0,fav,1,50,0.00818809469028175,0.007159075634166078
0.3,0.19095477386934673,0.057286432160804014,4.0,unf,3,50,-0.020921714343031188,0.009064504395720631
0.3,0.19597989949748745,0.05879396984924623,4.0,fav,1,50,0.008605774661568541,0.00751369485585468
0.3,0.19597989949748745,0.05879396984924623,4.0,unf,3,50,-0.021962947817086978,0.009506135233096772
0.3,0.20100502512562815,0.06030150753768844,4.0,fav,1,50,0.009032363596796067,0.007874773076310538
0.3,0.20100502512562815,0.06030150753768844,4.0,unf,3,50,-0.02302368257861644,0.009955040193651878
0.3,0.20603015075376885,0.06180904522613065,4.0,fav,1,50,0.009467720426674618,0.008242114282245734
0.3,0.20603015075376885,0.06180904522613065,4.0,unf,3,50,-0.02410338157879697,0.010410925747899218
0.3,0.21105527638190955,0.06331658291457286,4.0,fav,1,50,0.009911701507190993,0.008615519401425988
0.3,0.21105527638190955,0.06331658291457286,4.0,unf,3,50,-0.025201499412897427,0.01087349446353152
0.3,0.21608040201005024,0.06482412060301507,4.0,fav,1,50,0.010364160688363456,0.008994786431792877
0.3,0.21608040201005024,0.06482412060301507,4.0,unf,3,50,-0.026317482673763153,0.011342445239484616
0.3,0.22110552763819097,0.06633165829145729,4.0,fav,1,50,0.010824949383988513,0.009379710572178158
0.3,0.22110552763819097,0.06633165829145729,4.0,unf,3,50,-0.02745077030941726,0.011817473542239809
0.3,0.22613065326633167,0.0678391959798995,4.0,fav,1,50,0.011293916642333576,0.009770084354507852
0.3,0.22613065326633167,0.0678391959798995,4.0,unf,3,50,-0.0286007939844841,0.012298271644146192
0.3,0.23115577889447236,0.06934673366834171,4.0,fav,1,50,0.011770909217728897,0.010165697777392778
0.3,0.23115577889447236,0.06934673366834171,4.0,unf,3,50,-0.029766978445139744,0.012784528863540107
0.3,0.23618090452261306,0.07085427135678392,4.0,fav,1,50,0.012255771643012033,0.01056633844100145
0.3,0.23618090452261306,0.07085427135678392,4.0,unf,3,50,-0.03094874188729238,0.013275931806438596
0.3,0.24120603015075376,0.07236180904522613,4.0,fav,1,50,0.012748346302777422,0.010971791683110821
0.3,0.24120603015075376,0.07236180904522613,4.0,unf,3,50,-0.03214549632769331,0.01377216460958477
0.3,0.24623115577889448,0.07386934673366834,4.0,fav,1,50,0.013248473507383505,0.011381840716229408
0.3,0.24623115577889448,0.07386934673366834,4.0,unf,3,50,-0.03335664797767898,0.014272909184620477
0.3,0.25125628140703515,0.07537688442211055,4.0,fav,1,50,0.01375599156766938,0.01179626676568734
0.3,0.25125628140703515,0.07537688442211055,4.0,unf,3,50,-0.03458159761924262,0.014777845463163165
0.3,0.2562814070351759,0.07688442211055276,4.0,fav,1,50,0.014270736870332885,0.01221484920858709
0.3,0.2562814070351759,0.07688442211055276,4.0,unf,3,50,-0.03581974098313425,0.015286651642563235
