z,Q2,flavor,flavor_index,nrep,H1perp1_mean,H1perp1_std
0.10849246231155779,4.0,db,4,50,3.760103857847003,2.7324232130400268
0.10849246231155779,4.0,s,5,50,-15.0100649984845,7.305135420103686
0.10849246231155779,4.0,sb,6,50,-15.0100649984845,7.305135420103686
0.10849246231155779,4.0,c,7,50,0.0,0.0
0.10849246231155779,4.0,cb,8,50,0.0,0.0
0.10849246231155779,4.0,b,9,50,0.0,0.0
0.10849246231155779,4.0,bb,10,50,0.0,0.0
0.11341708542713567,4.0,u,1,50,3.741766413355718,2.629144989954619
0.11341708542713567,4.0,ub,2,50,-13.86905453897967,6.489763366085108
0.11341708542713567,4.0,d,3,50,-13.86905453897967,6.489763366085108
0.11341708542713567,4.0,db,4,50,3.741766413355718,2.629144989954619
0.11341708542713567,4.0,s,5,50,-13.86905453897967,6.489763366085108
0.11341708542713567,4.0,sb,6,50,-13.86905453897967,6.489763366085108
0.11341708542713567,4.0,c,7,50,0.0,0.0
0.11341708542713567,4.0,cb,8,50,0.0,0.0
0.11341708542713567,4.0,b,9,50,0.0,0.0
0.11341708542713567,4.0,bb,10,50,0.0,0.0
0.11834170854271357,4.0,u,1,50,3.7140255931567863,2.5247028761359305
0.11834170854271357,4.0,ub,2,50,-12.802583577655218,5.765137412202615
0.11834170854271357,4.0,d,3,50,-12.802583577655218,5.765137412202615
0.11834170854271357,4.0,db,4,50,3.7140255931567863,2.5247028761359305
0.11834170854271357,4.0,s,5,50,-12.802583577655218,5.765137412202615
0.11834170854271357,4.0,sb,6,50,-12.802583577655218,5.765137412202615
0.11834170854271357,4.0,c,7,50,0.0,0.0
0.11834170854271357,4.0,cb,8,50,0.0,0.0
0.11834170854271357,4.0,b,9,50,0.0,0.0
0.11834170854271357,4.0,bb,10,50,0.0,0.0
0.12326633165829146,4.0,u,1,50,3.6776838521796,2.419737937844336
0.12326633165829146,4.0,ub,2,50,-11.808009793903846,5.122234217954118
0.12326633165829146,4.0,d,3,50,-11.808009793903846,5.122234217954118
0.12326633165829146,4.0,db,4,50,3.6776838521796,2.419737937844336
0.12326633165829146,4.0,s,5,50,-11.808009793903846,5.122234217954118
0.12326633165829146,4.0,sb,6,50,-11.808009793903846,5.122234217954118
0.12326633165829146,4.0,c,7,50,0.0,0.0
0.12326633165829146,4.0,cb,8,50,0.0,0.0
0.12326633165829146,4.0,b,9,50,0.0,0.0
0.12326633165829146,4.0,bb,10,50,0.0,0.0
0.12819095477386935,4.0,u,1,50,3.6335191318099254,2.3148284028966173
0.12819095477386935,4.0,ub,2,50,-10.88238364589234,4.5527065602138626
0.12819095477386935,4.0,d,3,50,-10.88238364589234,4.5527065602138626
0.12819095477386935,4.0,db,4,50,3.6335191318099254,2.3148284028966173
